CODE,DESCRIPTION
1000126,1 ML medroxyPROGESTERone acetate 150 MG/ML Injection
1000126,1 ML medroxyprogesterone acetate 150 MG/ML Injection
1014676,cetirizine hydrochloride 5 MG Oral Tablet
1014678,cetirizine hydrochloride 10 MG Oral Tablet
1043400,Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution
1049221,Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet
1049221,Acetaminophen 325 MG / oxyCODONE Hydrochloride 5 MG Oral Tablet
1049630,diphenhydrAMINE Hydrochloride 25 MG Oral Tablet
1049635,Acetaminophen 325 MG / oxyCODONE Hydrochloride 2.5 MG Oral Tablet
105078,Penicillin G 375 MG/ML Injectable Solution
105585,Methotrexate 2.5 MG Oral Tablet
106258,Hydrocortisone 10 MG/ML Topical Cream
106892,insulin human  isophane 70 UNT/ML / Regular Insulin  Human 30 UNT/ML Injectable Suspension [Humulin]
1091392,Methylphenidate Hydrochloride 20 MG Oral Tablet
1094107,Phenazopyridine hydrochloride 100 MG Oral Tablet
1100184,Donepezil hydrochloride 23 MG Oral Tablet
1114085,100 ML zoledronic acid 0.04 MG/ML Injection
1116758,chloroquine phosphate 500 MG Oral Tablet
1190795,Atropine Sulfate 1 MG/ML Injectable Solution
1234995,Rocuronium bromide 10 MG/ML Injectable Solution
1359133,Estrostep Fe 28 Day Pack
1363309,Chlorpheniramine Maleate 4 MG Oral Tablet
1367439,NuvaRing 0.12/0.015 MG per 24HR 21 Day Vaginal Ring
141918,Terfenadine 60 MG Oral Tablet
1534809,168 HR Ethinyl Estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal System
1599803,24 HR Donepezil hydrochloride 10 MG / Memantine hydrochloride 28 MG Extended Release Oral Capsule
1601380,palbociclib 100 MG Oral Capsule
1605257,Liletta 52 MG Intrauterine System
1650142,Doxycycline Monohydrate 100 MG Oral Tablet
1652673,Doxycycline Monohydrate 50 MG Oral Tablet
1657981,20 ML tocilizumab 20 MG/ML Injection
1659149,Piperacillin 4000 MG / tazobactam 500 MG Injection
1659149,piperacillin 4000 MG / tazobactam 500 MG Injection
1659263,1 ML heparin sodium  porcine 5000 UNT/ML Injection
1660014,1 ML Epinephrine 1 MG/ML Injection
1719286,10 ML Furosemide 10 MG/ML Injection
1729584,remifentanil 2 MG Injection
1732136,1 ML Morphine Sulfate 5 MG/ML Injection
1732186,100 ML Epirubicin Hydrochloride 2 MG/ML Injection
1734340,Etoposide 100 MG Injection
1734919,Cyclophosphamide 1000 MG Injection
1735006,10 ML Fentanyl 0.05 MG/ML Injection
1736776,10 ML oxaliplatin 5 MG/ML Injection
1736854,Cisplatin 50 MG Injection
